age_group,year,sex,edu_H,edu_M,edu_L
42,2046,F,0.36481724588080633,0.47995723351998965,0.15522552059920397
47,2046,F,0.3373880121907237,0.4905287245933144,0.17208326321596193
52,2046,F,0.31556831044910205,0.48559866710545013,0.1988330224454478
57,2046,F,0.29645829591482487,0.4681907861368849,0.23535091794829024
62,2046,F,0.2793886518828546,0.43907282251861524,0.28153852559853015
67,2046,F,0.2617560381702409,0.39963582235812933,0.3386081394716298
72,2046,F,0.2617560381702409,0.39963582235812933,0.3386081394716298
77,2046,F,0.2617560381702409,0.39963582235812933,0.3386081394716298
82,2046,F,0.2617560381702409,0.39963582235812933,0.3386081394716298
87,2046,F,0.2617560381702409,0.39963582235812933,0.3386081394716298
17,2046,M,0.014223030219666748,0.2066495772817958,0.7791273924985375
22,2046,M,0.1317259371599865,0.737608759027097,0.1306653038129166
27,2046,M,0.3562904047563451,0.5248629440861002,0.11884665115755462
32,2046,M,0.3712349335371072,0.5009239960394584,0.1278410704234344
37,2046,M,0.3460003527165604,0.5160469902558649,0.13795265702757464
42,2046,M,0.3096011240774369,0.5405907889451542,0.14980808697740894
47,2046,M,0.27929172773230615,0.5539678407072094,0.16674043156048443
52,2046,M,0.2545733353761866,0.5514153265615835,0.19401133806222998
57,2046,M,0.23512873792923733,0.5339818276299889,0.23088943444077367
62,2046,M,0.21738103450101617,0.5041861368242463,0.27843282867473756
67,2046,M,0.20303428329488848,0.4606809681338497,0.33628474857126195
72,2046,M,0.20303428329488848,0.4606809681338497,0.33628474857126195
77,2046,M,0.20303428329488848,0.4606809681338497,0.33628474857126195
82,2046,M,0.20303428329488848,0.4606809681338497,0.33628474857126195
87,2046,M,0.20303428329488848,0.4606809681338497,0.33628474857126195
17,2047,F,0.015078204998646998,0.18170083023905387,0.8032209647622992
22,2047,F,0.15343984287575102,0.7010633691884036,0.14549678793584528
27,2047,F,0.4010999548601165,0.4734214690842904,0.12547857605559312
32,2047,F,0.42107726781957366,0.44586338496295713,0.1330593472174692
37,2047,F,0.3998439817282938,0.4573481765047569,0.14280784176694933
42,2047,F,0.3669143367025927,0.4784229641565713,0.15466269914083594
47,2047,F,0.33966806691451146,0.48890234190303083,0.17142959118245765
52,2047,F,0.3177705165220515,0.48410424061741414,0.19812524286053446
57,2047,F,0.29964031837597827,0.4661856993438098,0.23417398228021194
62,2047,F,0.2818164601766275,0.43769081901115114,0.2804927208122213
67,2047,F,0.26507874028277734,0.39798449677958797,0.33693676293763475
72,2047,F,0.26507874028277734,0.39798449677958797,0.33693676293763475
77,2047,F,0.26507874028277734,0.39798449677958797,0.33693676293763475
82,2047,F,0.26507874028277734,0.39798449677958797,0.33693676293763475
87,2047,F,0.26507874028277734,0.39798449677958797,0.33693676293763475
17,2047,M,0.014336423552690165,0.20668690137510295,0.7789766750722069
22,2047,M,0.13279859181178516,0.7367471045554049,0.13045430363280994
27,2047,M,0.35842942523997573,0.5231618191583677,0.11840875560165656
32,2047,M,0.37387973947384784,0.49887170044070955,0.12724856008544255
37,2047,M,0.3488587697308661,0.5138567071078257,0.13728452316130824
42,2047,M,0.31264324693580375,0.5382878292382,0.14906892382599635
47,2047,M,0.28226161597083804,0.5517745210800302,0.1659638629491317
52,2047,M,0.25781525141543155,0.5491328854028619,0.19305186318170658
57,2047,M,0.23873750151645864,0.5316145473099255,0.22964795117361575
62,2047,M,0.2206545753864808,0.5022392086182346,0.2771062159952846
67,2047,M,0.20685166712459008,0.4586884515620703,0.3344598813133397
72,2047,M,0.20685166712459008,0.4586884515620703,0.3344598813133397
77,2047,M,0.20685166712459008,0.4586884515620703,0.3344598813133397
82,2047,M,0.20685166712459008,0.4586884515620703,0.3344598813133397
87,2047,M,0.20685166712459008,0.4586884515620703,0.3344598813133397
17,2048,F,0.015165655321204792,0.1817250507440191,0.8031092939347761
22,2048,F,0.15444091245479252,0.7002785677787208,0.14528051976648665
27,2048,F,0.4029093228116855,0.4720267052813521,0.12506397190696236
32,2048,F,0.4228645461193682,0.44452257873532447,0.13261287514530737
37,2048,F,0.40202885389731907,0.4557301966899683,0.14224094941271262
42,2048,F,0.3692701450036319,0.47669885838385206,0.15403099661251599
47,2048,F,0.3419458904177742,0.48727691326202194,0.17077719632020397
52,2048,F,0.32060020350364016,0.4821829718847442,0.1972168246116156
57,2048,F,0.3031750434944561,0.4639563418320221,0.2328686146735217
62,2048,F,0.28505450212565087,0.4358457727081466,0.2790997251662026
67,2048,F,0.2684046539604292,0.3963290596932704,0.3352662863463004
72,2048,F,0.2684046539604292,0.3963290596932704,0.3352662863463004
77,2048,F,0.2684046539604292,0.3963290596932704,0.3352662863463004
82,2048,F,0.2684046539604292,0.3963290596932704,0.3352662863463004
87,2048,F,0.2684046539604292,0.3963290596932704,0.3352662863463004
17,2048,M,0.014473176875917872,0.20673128326344484,0.7787955398606373
22,2048,M,0.1338744063422194,0.7358824342840047,0.13024315937377592
27,2048,M,0.3609926949860056,0.5211227552442518,0.11788454976974261
32,2048,M,0.3765195992847199,0.49682260962308317,0.1266577910921969
37,2048,M,0.35171303292199907,0.5116687677999525,0.13661819927804844
42,2048,M,0.3154072097730218,0.5361944494634886,0.1483983407634896
47,2048,M,0.2852322848114584,0.5495792843257736,0.16518843086276802
52,2048,M,0.261060871590268,0.5468458372282013,0.1920932911815306
57,2048,M,0.24126821159059292,0.5299526197848702,0.22877916862453693
62,2048,M,0.22393708236250073,0.5002838278331865,0.27577908980431287
67,2048,M,0.20972483461368807,0.4571854825400798,0.3330896828462322
72,2048,M,0.20972483461368807,0.4571854825400798,0.3330896828462322
77,2048,M,0.20972483461368807,0.4571854825400798,0.3330896828462322
82,2048,M,0.20972483461368807,0.4571854825400798,0.3330896828462322
87,2048,M,0.20972483461368807,0.4571854825400798,0.3330896828462322
17,2049,F,0.015264382966237172,0.18175211999403756,0.8029834970397252
22,2049,F,0.15524327751657593,0.6996492915246159,0.14510743095880815
27,2049,F,0.4045150986904627,0.4707886521412175,0.1246962491683198
32,2049,F,0.4248711210344075,0.44301693839192013,0.13211194057367243
37,2049,F,0.40420933677983933,0.45411503141138443,0.1416756318087763
42,2049,F,0.37136108686992,0.47516810908758317,0.1534708040424969
47,2049,F,0.34450565867742033,0.48544953969190824,0.17004480163067148
52,2049,F,0.3227996171711444,0.48068884741960055,0.19651153540925498
57,2049,F,0.3049419446948654,0.4628411679801448,0.23221688732498977
62,2049,F,0.28788844844027905,0.43422929602750115,0.27788225553221985
67,2049,F,0.27173338435057304,0.3946697517762828,0.33359686387314424
72,2049,F,0.27173338435057304,0.3946697517762828,0.33359686387314424
77,2049,F,0.27173338435057304,0.3946697517762828,0.33359686387314424
82,2049,F,0.27173338435057304,0.3946697517762828,0.33359686387314424
87,2049,F,0.27173338435057304,0.3946697517762828,0.33359686387314424
17,2049,M,0.014599187642470052,0.20677157804627017,0.7786292343112599
22,2049,M,0.13495335612034853,0.7350147710571736,0.13003187282247788
27,2049,M,0.36312570794490456,0.5194255122325477,0.1174487798225478
32,2049,M,0.37891507542842356,0.4949626701655194,0.12612225440605704
37,2049,M,0.3543040650345965,0.5096818911727607,0.13601404379264262
42,2049,M,0.31844557547202007,0.5338921657593031,0.14766225876867686
47,2049,M,0.2882034723504782,0.5473823459074378,0.164414181742084
52,2049,M,0.2643098188923361,0.5445544828365845,0.19113569827107935
57,2049,M,0.2445271662197381,0.5278102780124929,0.2276625557677689
62,2049,M,0.2272281004001657,0.4983203196814764,0.2744515799183579
67,2049,M,0.21308735930912773,0.45542303440209714,0.3314896062887751
72,2049,M,0.21308735930912773,0.45542303440209714,0.3314896062887751
77,2049,M,0.21308735930912773,0.45542303440209714,0.3314896062887751
82,2049,M,0.21308735930912773,0.45542303440209714,0.3314896062887751
87,2049,M,0.21308735930912773,0.45542303440209714,0.3314896062887751
17,2050,F,0.015374510356558273,0.18178197548070668,0.802843514162735
22,2050,F,0.1560469744051914,0.6990187484477723,0.14493427714703622
27,2050,F,0.4063186953232245,0.4693978231648678,0.12428348151190775
32,2050,F,0.42687330074742186,0.44151426165205443,0.13161243760052363
37,2050,F,0.40614381000022864,0.45268173274579493,0.1411744572539764
42,2050,F,0.373449035897094,0.4736390978037552,0.1529118662991508
47,2050,F,0.3464944715914806,0.4840292169365907,0.16947631147192882
52,2050,F,0.3256254058220198,0.4787682051308057,0.19560638904717456
57,2050,F,0.3084745700004111,0.4606100161019277,0.2309154138976612
62,2050,F,0.2911276955794075,0.4323797432651025,0.2764925611554901
67,2050,F,0.2745885274753645,0.39324458758541714,0.33216688493921837
72,2050,F,0.2745885274753645,0.39324458758541714,0.33216688493921837
77,2050,F,0.2745885274753645,0.39324458758541714,0.33216688493921837
82,2050,F,0.2745885274753645,0.39324458758541714,0.33216688493921837
87,2050,F,0.2745885274753645,0.39324458758541714,0.33216688493921837
17,2050,M,0.014725824151125638,0.2068115025234582,0.7784626733254162
22,2050,M,0.1360354164471734,0.7341441377588024,0.12982044579402416
27,2050,M,0.3656815653117659,0.5173912832871683,0.1169271514010658
32,2050,M,0.3815451504556873,0.49291999078205634,0.1255348587622564
