projection,year,age,age_group,sex,pop
BSL,2024,18,17,F,30544.0
BSL,2025,18,17,F,31164.0
BSL,2026,18,17,F,31428.0
BSL,2027,18,17,F,32599.0
BSL,2028,18,17,F,34246.0
BSL,2029,18,17,F,32375.0
BSL,2030,18,17,F,31900.0
BSL,2031,18,17,F,31268.0
BSL,2032,18,17,F,30604.0
BSL,2033,18,17,F,31514.0
BSL,2034,18,17,F,30574.0
BSL,2035,18,17,F,30608.0
BSL,2036,18,17,F,30082.0
BSL,2037,18,17,F,29077.0
BSL,2038,18,17,F,28924.0
BSL,2039,18,17,F,27786.0
BSL,2040,18,17,F,27641.0
BSL,2041,18,17,F,27079.0
BSL,2042,18,17,F,25984.0
BSL,2043,18,17,F,25930.0
BSL,2044,18,17,F,25479.0
BSL,2045,18,17,F,25091.0
BSL,2046,18,17,F,24778.0
BSL,2047,18,17,F,24493.0
BSL,2048,18,17,F,24295.0
BSL,2049,18,17,F,24164.0
BSL,2050,18,17,F,24095.0
BSL,2051,18,17,F,24083.0
BSL,2052,18,17,F,24113.0
BSL,2053,18,17,F,24190.0
BSL,2054,18,17,F,24283.0
BSL,2055,18,17,F,24376.0
BSL,2056,18,17,F,24461.0
BSL,2057,18,17,F,24525.0
BSL,2058,18,17,F,24565.0
BSL,2059,18,17,F,24579.0
BSL,2060,18,17,F,24560.0
BSL,2061,18,17,F,24507.0
BSL,2062,18,17,F,24422.0
BSL,2063,18,17,F,24300.0
BSL,2064,18,17,F,24155.0
BSL,2065,18,17,F,23990.0
BSL,2066,18,17,F,23803.0
BSL,2067,18,17,F,23599.0
BSL,2068,18,17,F,23386.0
BSL,2069,18,17,F,23170.0
BSL,2070,18,17,F,22956.0
BSL,2071,18,17,F,22749.0
BSL,2072,18,17,F,22551.0
BSL,2073,18,17,F,22368.0
BSL,2074,18,17,F,22202.0
BSL,2075,18,17,F,22057.0
BSL,2076,18,17,F,21929.0
BSL,2077,18,17,F,21823.0
BSL,2078,18,17,F,21737.0
BSL,2079,18,17,F,21673.0
BSL,2080,18,17,F,21630.0
BSL,2081,18,17,F,21605.0
BSL,2082,18,17,F,21596.0
