age_group,year,sex,edu,l_active,l_not_active
77,2068,M,L,0.01,0.99
82,2068,M,L,0.01,0.99
87,2068,M,L,0.01,0.99
17,2068,M,M,0.4146843353769888,0.5853156646230112
22,2068,M,M,0.7257020639346956,0.2742979360653044
27,2068,M,M,0.8534005209029196,0.14659947909708038
32,2068,M,M,0.8809679404746492,0.11903205952535079
37,2068,M,M,0.8910825605373756,0.10891743946262444
42,2068,M,M,0.8946314060365519,0.10536859396344811
47,2068,M,M,0.8865343491406914,0.1134656508593086
52,2068,M,M,0.8546283711292758,0.1453716288707242
57,2068,M,M,0.7572556464139312,0.24274435358606883
62,2068,M,M,0.47854065992968586,0.5214593400703141
67,2068,M,M,0.21037113513400285,0.7896288648659971
72,2068,M,M,0.15661132645409948,0.8433886735459005
77,2068,M,M,0.01,0.99
82,2068,M,M,0.01,0.99
87,2068,M,M,0.01,0.99
17,2069,F,H,0.6992776540178866,0.30072234598211345
22,2069,F,H,0.6992776540178866,0.30072234598211345
27,2069,F,H,0.836506430308095,0.16349356969190498
32,2069,F,H,0.8667546949404701,0.13324530505952992
37,2069,F,H,0.8779096915000335,0.1220903084999665
42,2069,F,H,0.8818308283357759,0.11816917166422414
47,2069,F,H,0.8728898697447802,0.12711013025521978
52,2069,F,H,0.8378488924202419,0.16215110757975815
57,2069,F,H,0.7327515337454352,0.2672484662545648
62,2069,F,H,0.44646738568019895,0.553532614319801
67,2069,F,H,0.18973177654158102,0.810268223458419
72,2069,F,H,0.14030910708324326,0.8596908929167567
77,2069,F,H,0.01,0.99
82,2069,F,H,0.01,0.99
87,2069,F,H,0.01,0.99
17,2069,F,L,0.1622200995525595,0.8377799004474404
22,2069,F,L,0.41964205007962585,0.5803579499203741
27,2069,F,L,0.6140472877180847,0.3859527122819153
32,2069,F,L,0.669176026360098,0.330823973639902
37,2069,F,L,0.6909745306404743,0.3090254693595257
42,2069,F,L,0.6988398702380478,0.30116012976195217
47,2069,F,L,0.6810610093335894,0.3189389906664106
